STN,YYYYMMDD,FHVEC,  FHX,   TG,   TN,   TX,    Q,   RH
  260,20160809,   21,   40,  144,  103,  185, 1692,   74
  260,20160810,   18,   40,  128,   69,  168, 1881,   13
  260,20160811,   33,   60,  136,   67,  163,  529,   96
  260,20160812,   32,   50,  189,  163,  226, 1047,   16
  260,20160813,   30,   50,  176,  143,  215, 1130,    0
  260,20160814,   16,   40,  170,   96,  217, 1464,    0
  260,20160815,   23,   40,  161,   82,  217, 2178,    0
  260,20160816,   33,   50,  163,  114,  210, 2302,    0
  260,20160817,   34,   70,  172,  100,  234, 2456,    0
  260,20160818,   28,   50,  177,   97,  242, 2361,    0
  260,20160819,   16,   60,  181,   98,  243, 1298,   34
  260,20160820,   40,   70,  178,  148,  229, 1653,   54
  260,20160821,   40,   60,  167,  147,  198,  962,  145
  260,20160822,   35,   60,  180,  142,  227,  894,   32
  260,20160823,   15,   30,  210,  140,  269, 2173,    0
  260,20160824,   26,   40,  228,  170,  302, 2187,    0
  260,20160825,   23,   30,  243,  172,  310, 2118,    0
  260,20160826,   18,   40,  221,  176,  262, 1904,    0
  260,20160827,   31,   50,  216,  161,  265, 1823,   11
  260,20160828,   33,   60,  205,  177,  246, 1371,    4
  260,20160829,   19,   40,  172,  100,  214, 1279,    2
  260,20160830,    4,   20,  162,   85,  238, 1992,    0
  260,20160831,   10,   40,  174,   86,  254, 1981,    0
  260,20160901,   10,   30,  172,  102,  229, 1137,    0
  260,20160902,   28,   50,  166,   97,  217, 1301,   10
  260,20160903,   28,   50,  185,  144,  229, 1371,   10
  260,20160904,   43,   60,  179,  157,  213,  994,   28
  260,20160905,   16,   40,  173,  115,  228, 1255,   -1
  260,20160906,   14,   40,  177,  113,  242, 1217,    0
  260,20160907,   13,   30,  183,  114,  268, 1881,    0
  260,20160908,   18,   40,  196,  116,  276, 1765,    0
  260,20160909,   18,   40,  169,  117,  229, 1606,    0
  260,20160910,   23,   50,  184,  113,  257, 1740,    0
  260,20160911,   11,   30,  185,  148,  217,  963,   12
  260,20160912,   12,   30,  209,  150,  281, 1733,    0
  260,20160913,   24,   50,  235,  152,  312, 1663,    0
  260,20160914,   19,   40,  230,  153,  314, 1664,    0
  260,20160915,   11,   50,  226,  165,  290, 1526,   42
  260,20160916,   28,   50,  174,  155,  212,  673,   12
  260,20160917,    9,   30,  173,  137,  216,  835,    0
  260,20160918,   28,   40,  167,  142,  207, 1189,    0
  260,20160919,   11,   20,  144,   95,  198,  798,    0
  260,20160920,   10,   20,  145,   79,  200, 1114,    0
  260,20160921,   19,   40,  147,   83,  207, 1367,    0
  260,20160922,   16,   30,  138,   69,  213, 1059,    0
  260,20160923,   14,   40,  136,   73,  203, 1462,   -1
  260,20160924,   26,   40,  152,   83,  236, 1436,    0
  260,20160925,   26,   50,  163,  121,  243, 1212,   35
  260,20160926,    4,   20,  135,   76,  191,  979,    0
  260,20160927,   24,   50,  145,   56,  204, 1431,    0
  260,20160928,   46,   70,  187,  162,  216, 1198,   -1
  260,20160929,   51,   80,  159,  138,  177,  291,   27
  260,20160930,   29,   60,  145,  108,  187,  989,   -1
  260,20161001,   26,   40,  135,   99,  176,  779,   10
  260,20161002,   28,   50,  121,   88,  157,  620,  107
  260,20161003,   22,   40,  145,  111,  190, 1124,   -1
  260,20161004,   41,   60,  130,   99,  173,  896,    0
  260,20161005,   46,   80,   98,   54,  141, 1339,    0
  260,20161006,   36,   50,   94,   39,  127,  938,    0
  260,20161007,   28,   40,  118,  100,  145,  568,    0
  260,20161008,   22,   30,  110,   65,  142,  856,   -1
  260,20161009,    9,   20,   79,   13,  145,  932,    4
  260,20161010,   15,   40,   79,   19,  135,  952,    0
  260,20161011,   16,   30,   80,    3,  131,  461,   -1
  260,20161012,   40,   60,   89,   68,  110,  467,    0
  260,20161013,   56,   70,   91,   77,  114,  509,    0
  260,20161014,   45,   60,   99,   73,  134,  809,   47
  260,20161015,   21,   40,  107,   89,  137,  264,   41
  260,20161016,   32,   50,  133,   82,  188, 1051,   -1
  260,20161017,   19,   40,  121,   82,  163,  607,    2
  260,20161018,   33,   60,  102,   75,  128,  350,  117
  260,20161019,   24,   60,   88,   44,  120,  703,  134
  260,20161020,   23,   50,   85,   27,  120,  293,    9
  260,20161021,   11,   30,   76,   15,  127,  681,    2
  260,20161022,   12,   30,   67,   10,  104,  486,    0
  260,20161023,   11,   30,   48,   -7,  116,  914,    0
  260,20161024,   22,   40,   71,   41,   95,  373,    0
  260,20161025,   13,   30,   87,   79,  101,  262,    0
  260,20161026,   19,   30,   95,   40,  126,  518,   -1
  260,20161027,   34,   50,  118,  104,  138,  323,    0
  260,20161028,   27,   50,  131,  103,  148,  140,   -1
  260,20161029,    5,   20,   96,   52,  154,  659,    0
  260,20161030,    4,   20,   87,   41,  153,  594,    0
  260,20161031,    8,   20,   85,   29,  162,  749,    0
  260,20161101,    8,   50,   81,   40,  138,  248,    2
  260,20161102,   21,   40,   72,   22,  117,  636,   42
  260,20161103,   23,   40,   67,    8,  120,  486,    6
  260,20161104,   37,   50,   76,   63,   97,  273,   27
  260,20161105,   24,   40,   69,   49,  108,  391,   31
  260,20161106,   23,   40,   61,   24,   93,  365,   51
  260,20161107,   23,   50,   42,   -1,   57,  156,   17
  260,20161108,   13,   30,   19,  -29,   56,  402,   15
  260,20161109,   22,   40,   30,    5,   43,  128,   37
  260,20161110,   19,   40,   40,   31,   52,  200,  139
  260,20161111,   25,   50,   18,  -31,   58,  602,    2
  260,20161112,   31,   40,   20,  -33,   50,  422,    8
  260,20161113,   21,   30,   27,  -10,   47,  127,   17
  260,20161114,   30,   50,   31,  -23,   69,  191,   39
  260,20161115,   29,   50,  108,   69,  129,   80,   35
  260,20161116,   38,   50,  119,   93,  142,  254,   56
  260,20161117,   52,   90,   93,   76,  115,  258,  120
  260,20161118,   55,   80,   60,   32,   82,  265,    7
  260,20161119,   46,   60,   58,   40,   81,  385,   -1
  260,20161120,   55,  130,   84,   48,  125,   93,   46
  260,20161121,   44,   60,  120,   81,  139,  187,   49
  260,20161122,   44,   60,  110,   65,  136,  383,    0
  260,20161123,   24,   50,   79,   37,  111,  164,    0
  260,20161124,   57,   80,   66,   30,   87,  359,    0
  260,20161125,   40,   70,   33,   -6,   84,  484,    0
  260,20161126,    9,   20,   -1,  -26,   36,  396,    0
  260,20161127,   17,   40,   56,  -10,   94,  258,   -1
  260,20161128,   27,   50,   -3,  -41,   42,  466,    0
  260,20161129,    5,   20,  -31,  -70,   43,  552,    0
  260,20161130,   25,   30,   20,  -70,   68,  248,    0
  260,20161201,   29,   40,   79,   51,   94,  162,   -1
  260,20161202,   17,   30,   52,  -25,   94,  172,    9
  260,20161203,    6,   10,   -1,  -43,   81,  291,    0
  260,20161204,   23,   30,  -14,  -50,   40,  450,    0
  260,20161205,   13,   20,  -27,  -69,   41,  393,    0
  260,20161206,   18,   30,    1,  -53,   54,  404,    0
  260,20161207,   37,   60,   63,   18,   95,  152,    0
  260,20161208,   45,   60,   82,   64,   96,  213,    1
  260,20161209,   39,   50,   91,   74,  104,   78,    0
  260,20161210,   43,   60,   78,   66,   92,   28,   49
  260,20161211,   35,   70,   85,   69,   96,  172,   17
  260,20161212,   17,   30,   53,    8,   76,  135,    0
  260,20161213,   27,   40,   66,   53,   75,   56,    1
  260,20161214,   20,   30,   73,   48,   91,  220,    0
  260,20161215,   39,   50,   65,   52,   79,   64,    0
  260,20161216,   30,   40,   54,   27,   75,  228,    0
  260,20161217,   12,   30,   61,   32,   85,   59,   -1
  260,20161218,   17,   30,   62,   26,   91,  159,    0
  260,20161219,   22,   40,   43,   -2,   75,  262,    0
  260,20161220,   15,   30,   -6,  -27,   10,  311,    0
  260,20161221,   46,   60,   41,    0,   71,  185,   24
  260,20161222,   33,   50,   59,   48,   69,   98,   15
  260,20161223,   53,   80,   60,   43,   80,  143,    8
  260,20161224,   50,   70,   79,   61,   97,  192,   10
  260,20161225,   61,   70,  104,   81,  117,   45,    5
  260,20161226,   52,   70,   83,   61,  118,  285,   19
  260,20161227,   26,   50,   66,   30,   93,  293,   11
  260,20161228,   13,   20,   10,  -31,   43,  116,    0
  260,20161229,   15,   30,  -22,  -40,   -8,  144,   -1
  260,20161230,   19,   40,  -11,  -40,   15,  169,   -1
  260,20161231,   33,   40,   18,    8,   33,   83,    2
  260,20170101,   38,   50,    5,   -8,   19,   56,   19
  260,20170102,   19,   30,   30,   -3,   68,  320,    5
  260,20170103,   42,   60,   50,   15,   71,  117,    7
  260,20170104,   45,   60,   58,   26,   73,  274,   18
  260,20170105,   18,   40,    0,  -59,   33,  378,   -1
  260,20170106,   25,   40,  -30,  -65,   -3,  392,    0
  260,20170107,   28,   50,   -2,  -21,   34,   61,   52
  260,20170108,    9,   20,   43,   28,   61,  121,    0
  260,20170109,   37,   60,   48,   33,   59,   62,   48
  260,20170110,   27,   50,   53,   29,   66,  192,   38
  260,20170111,   53,   80,   72,   57,  104,  254,    5
  260,20170112,   31,   60,   52,    2,   74,  222,  143
  260,20170113,   40,   70,   31,    2,   56,  332,   96
  260,20170114,   29,   50,   18,    1,   48,  194,   51
  260,20170115,   15,   20,    7,  -18,   48,  292,    0
  260,20170116,   13,   30,  -16,  -44,   12,  275,   -1
  260,20170117,   15,   30,  -34,  -50,   13,  362,    0
  260,20170118,   11,   20,  -38,  -53,  -19,  214,   -1
  260,20170119,   12,   20,  -20,  -56,   31,  570,    0
  260,20170120,   20,   30,   -3,  -52,   51,  456,    0
  260,20170121,   22,   40,   -2,  -52,   50,  503,    0
  260,20170122,    2,   20,  -17,  -74,   37,  637,    0
  260,20170123,   16,   30,   16,   -3,   31,  180,   -1
  260,20170124,   19,   30,    8,    0,   21,  152,    3
  260,20170125,   22,   40,  -11,  -43,    6,  162,    0
  260,20170126,   29,   40,  -28,  -53,    6,  480,    0
  260,20170127,   34,   50,    8,  -70,   51,  429,    0
  260,20170128,   34,   50,   54,   20,   81,  329,   -1
  260,20170129,   36,   50,   47,   31,   65,  198,   36
  260,20170130,    6,   50,   49,   28,   72,  109,   65
  260,20170131,   13,   40,   37,   26,   61,  267,    0
  260,20170201,   48,   60,   34,    5,   54,  216,   12
  260,20170202,   44,   60,   86,   52,  125,  482,   10
  260,20170203,   31,   50,   86,   63,  119,  345,    1
  260,20170204,   12,   40,   57,   26,   74,  262,   83
  260,20170205,    4,   30,   44,  -11,   77,  492,   -1
  260,20170206,   12,   30,   43,  -10,   66,  205,    0
  260,20170207,   41,   50,   24,    9,   39,  123,   25
  260,20170208,   37,   40,    0,  -11,    9,   87,    2
  260,20170209,   39,   50,  -16,  -30,  -10,  142,   -1
  260,20170210,   33,   50,  -23,  -45,  -13,  149,    2
  260,20170211,   33,   50,   -4,  -17,   10,  203,   45
  260,20170212,   50,   60,    7,   -6,   25,  538,    3
  260,20170213,   54,   70,   22,  -14,   71,  820,    0
  260,20170214,   34,   70,   38,   -5,   94,  826,    0
  260,20170215,   24,   40,   74,    3,  135,  756,   -1
  260,20170216,   35,   40,   68,   55,   99,  277,    5
  260,20170217,   26,   40,   70,   52,   86,  297,    6
  260,20170218,   20,   40,   56,   32,  103,  657,    0
  260,20170219,   31,   50,   62,   32,   92,  225,    6
  260,20170220,   45,   60,   91,   72,  109,  156,   53
  260,20170221,   39,   70,   96,   86,  111,  720,    3
  260,20170222,   62,   80,   95,   78,  108,  111,  175
  260,20170223,   74,  130,   80,   42,  105,  163,  145
  260,20170224,   28,   50,   45,   -6,   87,  825,    6
  260,20170225,   53,   70,   58,   18,   89,  336,    7
  260,20170226,   53,   60,   87,   67,  106,  173,   21
  260,20170227,   60,   80,   87,   43,  106,  199,  138
  260,20170228,   61,   90,   47,   32,   65,  461,   28
  260,20170301,   31,   60,   63,   32,   94,  641,   35
  260,20170302,   59,   90,   66,   42,   82,  323,   84
  260,20170303,   36,   60,   59,   12,   88,  433,   11
  260,20170304,   25,   50,   92,   62,  132,  494,   61
  260,20170305,   51,   70,   69,   38,  106,  741,   38
  260,20170306,    4,   30,   60,   32,   95,  731,   23
  260,20170307,   23,   40,   67,   45,   94,  493,    1
  260,20170308,   26,   70,   59,    8,  106,  151,  137
  260,20170309,   27,   80,   77,    7,  128,  681,    1
  260,20170310,   11,   30,   65,   -9,  112, 1202,    0
  260,20170311,   18,   30,   73,   15,  130,  886,    0
  260,20170312,   29,   50,   79,   14,  148, 1356,    0
  260,20170313,   18,   40,   65,   -5,  137, 1111,    0
  260,20170314,   31,   50,   88,   32,  149,  998,    0
  260,20170315,   15,   30,   90,   16,  139, 1358,    0
  260,20170316,   22,   50,   94,   11,  168, 1424,    0
  260,20170317,   45,   70,   83,   67,  103,  891,   57
